species_1,species_2,species_pair,genomes_species_1,genomes_species_2,within_individual_genome_pairs,between_individual_genome_pairs,total_genome_pairs,n_individuals_with_both_species,within_HGT,between_HGT,within_HGT_rate,between_HGT_rate
100_1,101_1,100_1-101_1,5,75,2,373,375,1,0,0,0,0
100_1,102_1,100_1-102_1,5,128,0,640,640,0,0,0,0,0
100_1,102_2,100_1-102_2,5,58,1,289,290,1,0,0,0,0
100_1,103_1,100_1-103_1,5,2,0,10,10,0,0,0,0,0
100_1,103_2,100_1-103_2,5,5,0,25,25,0,0,0,0,0
100_1,104_1,100_1-104_1,5,24,3,117,120,1,0,0,0,0
100_1,105_1,100_1-105_1,5,2,0,10,10,0,0,0,0,0
100_1,106_1,100_1-106_1,5,3,0,15,15,0,0,0,0,0
100_1,107_1,100_1-107_1,5,7,0,35,35,0,0,0,0,0
100_1,109_1,100_1-109_1,5,6,0,30,30,0,0,0,0,0
100_1,109_2,100_1-109_2,5,5,0,25,25,0,0,0,0,0
100_1,10_1,100_1-10_1,5,5,0,25,25,0,0,0,0,0
100_1,10_2,100_1-10_2,5,120,0,600,600,0,0,0,0,0
100_1,111_1,100_1-111_1,5,5,0,25,25,0,0,0,0,0
100_1,112_1,100_1-112_1,5,224,0,1120,1120,0,0,0,0,0
100_1,113_1,100_1-113_1,5,16,0,80,80,0,0,0,0,0
100_1,114_1,100_1-114_1,5,23,0,115,115,0,0,0,0,0
100_1,114_2,100_1-114_2,5,26,0,130,130,0,0,0,0,0
100_1,116_1,100_1-116_1,5,36,0,180,180,0,0,0,0,0
100_1,118_1,100_1-118_1,5,2,0,10,10,0,0,0,0,0
100_1,119_1,100_1-119_1,5,122,0,610,610,0,0,0,0,0
100_1,11_1,100_1-11_1,5,45,0,225,225,0,0,0,0,0
100_1,120_1,100_1-120_1,5,129,0,645,645,0,0,0,0,0
100_1,121_1,100_1-121_1,5,15,0,75,75,0,0,0,0,0
100_1,122_1,100_1-122_1,5,18,0,90,90,0,0,0,0,0
100_1,123_0,100_1-123_0,5,1,0,5,5,0,0,0,0,0
100_1,124_1,100_1-124_1,5,40,0,200,200,0,0,0,0,0
100_1,125_1,100_1-125_1,5,138,0,690,690,0,0,0,0,0
100_1,128_2,100_1-128_2,5,4,0,20,20,0,0,0,0,0
100_1,12_1,100_1-12_1,5,20,0,100,100,0,0,0,0,0
100_1,134_1,100_1-134_1,5,2,0,10,10,0,0,0,0,0
100_1,138_1,100_1-138_1,5,11,0,55,55,0,0,0,0,0
100_1,13_1,100_1-13_1,5,32,0,160,160,0,0,0,0,0
100_1,140_1,100_1-140_1,5,5,0,25,25,0,0,0,0,0
100_1,142_1,100_1-142_1,5,8,0,40,40,0,0,0,0,0
100_1,142_2,100_1-142_2,5,1,0,5,5,0,0,0,0,0
100_1,144_1,100_1-144_1,5,9,0,45,45,0,0,0,0,0
100_1,144_2,100_1-144_2,5,2,0,10,10,0,0,0,0,0
100_1,144_3,100_1-144_3,5,3,0,15,15,0,0,0,0,0
100_1,145_1,100_1-145_1,5,2,0,10,10,0,0,0,0,0
100_1,145_2,100_1-145_2,5,1,0,5,5,0,0,0,0,0
100_1,147_1,100_1-147_1,5,2,0,10,10,0,0,0,0,0
100_1,149_1,100_1-149_1,5,7,0,35,35,0,0,0,0,0
100_1,14_1,100_1-14_1,5,82,2,408,410,1,0,0,0,0
100_1,150_1,100_1-150_1,5,11,0,55,55,0,0,0,0,0
100_1,152_1,100_1-152_1,5,23,0,115,115,0,0,0,0,0
100_1,153_1,100_1-153_1,5,14,0,70,70,0,0,0,0,0
100_1,153_2,100_1-153_2,5,8,0,40,40,0,0,0,0,0
100_1,154_1,100_1-154_1,5,6,0,30,30,0,0,0,0,0
100_1,161_1,100_1-161_1,5,2,0,10,10,0,0,0,0,0
100_1,170_1,100_1-170_1,5,6,0,30,30,0,0,0,0,0
100_1,171_1,100_1-171_1,5,6,0,30,30,0,0,0,0,0
100_1,173_1,100_1-173_1,5,2,0,10,10,0,0,0,0,0
100_1,175_1,100_1-175_1,5,4,1,19,20,1,0,0,0,0
100_1,176_1,100_1-176_1,5,5,0,25,25,0,0,0,0,0
100_1,176_2,100_1-176_2,5,5,0,25,25,0,0,0,0,0
100_1,178_1,100_1-178_1,5,7,0,35,35,0,0,0,0,0
100_1,178_2,100_1-178_2,5,6,0,30,30,0,0,0,0,0
100_1,179_1,100_1-179_1,5,32,0,160,160,0,0,0,0,0
100_1,17_1,100_1-17_1,5,2,0,10,10,0,0,0,0,0
100_1,180_1,100_1-180_1,5,37,0,185,185,0,0,0,0,0
100_1,181_1,100_1-181_1,5,4,0,20,20,0,0,0,0,0
100_1,181_2,100_1-181_2,5,2,0,10,10,0,0,0,0,0
100_1,181_3,100_1-181_3,5,31,0,155,155,0,0,0,0,0
100_1,182_1,100_1-182_1,5,4,0,20,20,0,0,0,0,0
100_1,183_1,100_1-183_1,5,3,0,15,15,0,0,0,0,0
100_1,186_1,100_1-186_1,5,4,0,20,20,0,0,0,0,0
100_1,187_1,100_1-187_1,5,8,0,40,40,0,0,0,0,0
100_1,190_1,100_1-190_1,5,6,0,30,30,0,0,0,0,0
100_1,192_1,100_1-192_1,5,12,0,60,60,0,0,0,0,0
100_1,192_2,100_1-192_2,5,1,0,5,5,0,0,0,0,0
100_1,193_1,100_1-193_1,5,2,0,10,10,0,0,0,0,0
100_1,193_2,100_1-193_2,5,86,0,430,430,0,0,0,0,0
100_1,195_0,100_1-195_0,5,1,0,5,5,0,0,0,0,0
100_1,196_1,100_1-196_1,5,8,0,40,40,0,0,0,0,0
100_1,19_1,100_1-19_1,5,6,0,30,30,0,0,0,0,0
100_1,200_1,100_1-200_1,5,3,0,15,15,0,0,0,0,0
100_1,201_1,100_1-201_1,5,55,0,275,275,0,0,0,0,0
100_1,203_1,100_1-203_1,5,16,0,80,80,0,0,0,0,0
100_1,204_1,100_1-204_1,5,51,1,254,255,1,0,0,0,0
100_1,208_1,100_1-208_1,5,2,0,10,10,0,0,0,0,0
100_1,209_1,100_1-209_1,5,2,0,10,10,0,0,0,0,0
100_1,20_1,100_1-20_1,5,135,0,675,675,0,0,0,0,0
100_1,210_1,100_1-210_1,5,4,0,20,20,0,0,0,0,0
100_1,211_1,100_1-211_1,5,15,0,75,75,0,0,0,0,0
100_1,213_1,100_1-213_1,5,1,0,5,5,0,0,0,0,0
100_1,217_1,100_1-217_1,5,6,0,30,30,0,0,0,0,0
100_1,219_1,100_1-219_1,5,75,0,375,375,0,0,0,0,0
100_1,21_1,100_1-21_1,5,1,0,5,5,0,0,0,0,0
100_1,221_1,100_1-221_1,5,2,0,10,10,0,0,0,0,0
100_1,222_1,100_1-222_1,5,3,0,15,15,0,0,0,0,0
100_1,222_2,100_1-222_2,5,1,0,5,5,0,0,0,0,0
100_1,223_1,100_1-223_1,5,94,2,468,470,1,0,0,0,0
100_1,224_1,100_1-224_1,5,22,4,106,110,1,0,0,0,0
100_1,225_1,100_1-225_1,5,9,0,45,45,0,0,0,0,0
100_1,226_1,100_1-226_1,5,161,0,805,805,0,0,0,0,0
100_1,226_2,100_1-226_2,5,75,1,374,375,1,0,0,0,0
100_1,228_1,100_1-228_1,5,17,0,85,85,0,0,0,0,0
100_1,228_2,100_1-228_2,5,11,0,55,55,0,0,0,0,0
100_1,229_1,100_1-229_1,5,5,0,25,25,0,0,0,0,0
100_1,229_2,100_1-229_2,5,5,0,25,25,0,0,0,0,0
100_1,229_3,100_1-229_3,5,492,5,2455,2460,2,0,0,0,0
100_1,22_1,100_1-22_1,5,3,0,15,15,0,0,0,0,0
100_1,22_2,100_1-22_2,5,11,2,53,55,1,0,0,0,0
100_1,230_1,100_1-230_1,5,5,0,25,25,0,0,0,0,0
100_1,231_1,100_1-231_1,5,2,0,10,10,0,0,0,0,0
100_1,233_1,100_1-233_1,5,22,0,110,110,0,0,0,0,0
100_1,233_2,100_1-233_2,5,7,0,35,35,0,0,0,0,0
100_1,233_3,100_1-233_3,5,66,2,328,330,1,0,0,0,0
100_1,233_4,100_1-233_4,5,1,0,5,5,0,0,0,0,0
100_1,234_1,100_1-234_1,5,4,0,20,20,0,0,0,0,0
100_1,234_2,100_1-234_2,5,14,0,70,70,0,0,0,0,0
100_1,234_3,100_1-234_3,5,4,0,20,20,0,0,0,0,0
100_1,234_4,100_1-234_4,5,1,0,5,5,0,0,0,0,0
100_1,234_5,100_1-234_5,5,4,0,20,20,0,0,0,0,0
100_1,234_6,100_1-234_6,5,1,0,5,5,0,0,0,0,0
100_1,234_7,100_1-234_7,5,2,0,10,10,0,0,0,0,0
100_1,234_8,100_1-234_8,5,5,0,25,25,0,0,0,0,0
100_1,235_1,100_1-235_1,5,3,0,15,15,0,0,0,0,0
100_1,236_1,100_1-236_1,5,1,0,5,5,0,0,0,0,0
100_1,236_2,100_1-236_2,5,1,0,5,5,0,0,0,0,0
100_1,238_1,100_1-238_1,5,12,0,60,60,0,0,0,0,0
100_1,238_2,100_1-238_2,5,2,0,10,10,0,0,0,0,0
100_1,238_3,100_1-238_3,5,64,0,320,320,0,0,0,0,0
100_1,239_1,100_1-239_1,5,25,0,125,125,0,0,0,0,0
100_1,23_1,100_1-23_1,5,2,0,10,10,0,0,0,0,0
100_1,240_1,100_1-240_1,5,31,0,155,155,0,0,0,0,0
100_1,241_1,100_1-241_1,5,7,0,35,35,0,0,0,0,0
100_1,246_1,100_1-246_1,5,4,0,20,20,0,0,0,0,0
100_1,24_1,100_1-24_1,5,2,0,10,10,0,0,0,0,0
100_1,24_2,100_1-24_2,5,4,0,20,20,0,0,0,0,0
100_1,24_3,100_1-24_3,5,1,0,5,5,0,0,0,0,0
100_1,250_1,100_1-250_1,5,4,0,20,20,0,0,0,0,0
100_1,252_1,100_1-252_1,5,7,0,35,35,0,0,0,0,0
100_1,256_1,100_1-256_1,5,5,0,25,25,0,0,0,0,0
100_1,257_1,100_1-257_1,5,6,0,30,30,0,0,0,0,0
100_1,258_1,100_1-258_1,5,4,0,20,20,0,0,0,0,0
100_1,25_1,100_1-25_1,5,1,0,5,5,0,0,0,0,0
100_1,262_1,100_1-262_1,5,2,0,10,10,0,0,0,0,0
100_1,263_1,100_1-263_1,5,2,0,10,10,0,0,0,0,0
100_1,264_1,100_1-264_1,5,1,0,5,5,0,0,0,0,0
100_1,265_1,100_1-265_1,5,4,0,20,20,0,0,0,0,0
100_1,266_1,100_1-266_1,5,1,0,5,5,0,0,0,0,0
100_1,267_1,100_1-267_1,5,7,0,35,35,0,0,0,0,0
100_1,268_1,100_1-268_1,5,9,0,45,45,0,0,0,0,0
100_1,269_1,100_1-269_1,5,10,0,50,50,0,0,0,0,0
100_1,26_1,100_1-26_1,5,2,0,10,10,0,0,0,0,0
100_1,26_2,100_1-26_2,5,479,11,2384,2395,3,0,0,0,0
100_1,26_3,100_1-26_3,5,52,0,260,260,0,0,0,0,0
100_1,273_1,100_1-273_1,5,2,0,10,10,0,0,0,0,0
100_1,276_1,100_1-276_1,5,2,0,10,10,0,0,0,0,0
100_1,282_1,100_1-282_1,5,5,0,25,25,0,0,0,0,0
100_1,283_1,100_1-283_1,5,94,0,470,470,0,0,0,0,0
100_1,286_1,100_1-286_1,5,4,0,20,20,0,0,0,0,0
100_1,287_1,100_1-287_1,5,3,0,15,15,0,0,0,0,0
100_1,288_1,100_1-288_1,5,2,0,10,10,0,0,0,0,0
100_1,28_1,100_1-28_1,5,2,0,10,10,0,0,0,0,0
100_1,290_1,100_1-290_1,5,5,0,25,25,0,0,0,0,0
100_1,292_2,100_1-292_2,5,4,0,20,20,0,0,0,0,0
100_1,294_1,100_1-294_1,5,5,0,25,25,0,0,0,0,0
100_1,294_2,100_1-294_2,5,22,1,109,110,1,0,0,0,0
100_1,295_0,100_1-295_0,5,1,0,5,5,0,0,0,0,0
100_1,297_1,100_1-297_1,5,20,0,100,100,0,0,0,0,0
100_1,298_1,100_1-298_1,5,27,0,135,135,0,0,0,0,0
100_1,29_1,100_1-29_1,5,3,0,15,15,0,0,0,0,0
100_1,300_1,100_1-300_1,5,9,0,45,45,0,0,0,0,0
100_1,301_1,100_1-301_1,5,5,0,25,25,0,0,0,0,0
100_1,308_1,100_1-308_1,5,10,1,49,50,1,0,0,0,0
100_1,309_1,100_1-309_1,5,2,0,10,10,0,0,0,0,0
100_1,30_1,100_1-30_1,5,4,0,20,20,0,0,0,0,0
100_1,312_1,100_1-312_1,5,2,0,10,10,0,0,0,0,0
100_1,314_1,100_1-314_1,5,2,0,10,10,0,0,0,0,0
100_1,317_1,100_1-317_1,5,4,0,20,20,0,0,0,0,0
100_1,318_1,100_1-318_1,5,2,0,10,10,0,0,0,0,0
100_1,318_10,100_1-318_10,5,1,0,5,5,0,0,0,0,0
100_1,318_11,100_1-318_11,5,3,0,15,15,0,0,0,0,0
100_1,318_13,100_1-318_13,5,13,0,65,65,0,0,0,0,0
100_1,318_15,100_1-318_15,5,2,0,10,10,0,0,0,0,0
100_1,318_16,100_1-318_16,5,4,0,20,20,0,0,0,0,0
100_1,318_17,100_1-318_17,5,9,0,45,45,0,0,0,0,0
100_1,318_18,100_1-318_18,5,5,0,25,25,0,0,0,0,0
100_1,318_19,100_1-318_19,5,25,0,125,125,0,0,0,0,0
100_1,318_2,100_1-318_2,5,6,0,30,30,0,0,0,0,0
100_1,318_20,100_1-318_20,5,2,0,10,10,0,0,0,0,0
100_1,318_21,100_1-318_21,5,42,0,210,210,0,0,0,0,0
100_1,318_22,100_1-318_22,5,1,0,5,5,0,0,0,0,0
100_1,318_23,100_1-318_23,5,2,0,10,10,0,0,0,0,0
100_1,318_24,100_1-318_24,5,7,0,35,35,0,0,0,0,0
100_1,318_26,100_1-318_26,5,2,0,10,10,0,0,0,0,0
100_1,318_27,100_1-318_27,5,4,0,20,20,0,0,0,0,0
100_1,318_28,100_1-318_28,5,2,0,10,10,0,0,0,0,0
100_1,318_29,100_1-318_29,5,1,0,5,5,0,0,0,0,0
100_1,318_3,100_1-318_3,5,5,0,25,25,0,0,0,0,0
100_1,318_30,100_1-318_30,5,4,0,20,20,0,0,0,0,0
100_1,318_32,100_1-318_32,5,3,0,15,15,0,0,0,0,0
100_1,318_33,100_1-318_33,5,5,0,25,25,0,0,0,0,0
100_1,318_34,100_1-318_34,5,2,0,10,10,0,0,0,0,0
100_1,318_35,100_1-318_35,5,2,0,10,10,0,0,0,0,0
100_1,318_36,100_1-318_36,5,2,0,10,10,0,0,0,0,0
100_1,318_37,100_1-318_37,5,2,0,10,10,0,0,0,0,0
100_1,318_38,100_1-318_38,5,41,0,205,205,0,0,0,0,0
100_1,318_39,100_1-318_39,5,24,0,120,120,0,0,0,0,0
100_1,318_4,100_1-318_4,5,2,0,10,10,0,0,0,0,0
100_1,318_40,100_1-318_40,5,19,0,95,95,0,0,0,0,0
100_1,318_42,100_1-318_42,5,17,0,85,85,0,0,0,0,0
100_1,318_43,100_1-318_43,5,1,0,5,5,0,0,0,0,0
100_1,318_44,100_1-318_44,5,1,0,5,5,0,0,0,0,0
100_1,318_45,100_1-318_45,5,4,0,20,20,0,0,0,0,0
100_1,318_46,100_1-318_46,5,2,0,10,10,0,0,0,0,0
100_1,318_47,100_1-318_47,5,1,0,5,5,0,0,0,0,0
100_1,318_48,100_1-318_48,5,5,0,25,25,0,0,0,0,0
100_1,318_49,100_1-318_49,5,4,0,20,20,0,0,0,0,0
100_1,318_5,100_1-318_5,5,10,0,50,50,0,0,0,0,0
100_1,318_50,100_1-318_50,5,3,0,15,15,0,0,0,0,0
100_1,318_51,100_1-318_51,5,1,0,5,5,0,0,0,0,0
100_1,318_52,100_1-318_52,5,9,0,45,45,0,0,0,0,0
100_1,318_53,100_1-318_53,5,2,0,10,10,0,0,0,0,0
100_1,318_54,100_1-318_54,5,63,0,315,315,0,0,0,0,0
100_1,318_55,100_1-318_55,5,3,0,15,15,0,0,0,0,0
100_1,318_56,100_1-318_56,5,429,0,2145,2145,0,0,0,0,0
100_1,318_57,100_1-318_57,5,1,0,5,5,0,0,0,0,0
100_1,318_58,100_1-318_58,5,1,0,5,5,0,0,0,0,0
100_1,318_60,100_1-318_60,5,1,0,5,5,0,0,0,0,0
100_1,318_61,100_1-318_61,5,1,0,5,5,0,0,0,0,0
100_1,318_62,100_1-318_62,5,1,0,5,5,0,0,0,0,0
100_1,318_65,100_1-318_65,5,1,0,5,5,0,0,0,0,0
100_1,318_66,100_1-318_66,5,1,0,5,5,0,0,0,0,0
100_1,318_67,100_1-318_67,5,1,0,5,5,0,0,0,0,0
100_1,318_69,100_1-318_69,5,1,0,5,5,0,0,0,0,0
100_1,318_7,100_1-318_7,5,3,0,15,15,0,0,0,0,0
100_1,318_70,100_1-318_70,5,3,0,15,15,0,0,0,0,0
100_1,318_71,100_1-318_71,5,4,0,20,20,0,0,0,0,0
100_1,318_72,100_1-318_72,5,1,0,5,5,0,0,0,0,0
100_1,318_73,100_1-318_73,5,1,0,5,5,0,0,0,0,0
100_1,318_74,100_1-318_74,5,4,0,20,20,0,0,0,0,0
100_1,318_75,100_1-318_75,5,3,0,15,15,0,0,0,0,0
100_1,318_76,100_1-318_76,5,4,0,20,20,0,0,0,0,0
100_1,318_77,100_1-318_77,5,3,0,15,15,0,0,0,0,0
100_1,318_78,100_1-318_78,5,2,0,10,10,0,0,0,0,0
100_1,318_79,100_1-318_79,5,3,0,15,15,0,0,0,0,0
100_1,318_8,100_1-318_8,5,16,0,80,80,0,0,0,0,0
100_1,318_80,100_1-318_80,5,1,0,5,5,0,0,0,0,0
100_1,318_81,100_1-318_81,5,1,0,5,5,0,0,0,0,0
100_1,318_82,100_1-318_82,5,1,0,5,5,0,0,0,0,0
100_1,318_84,100_1-318_84,5,1,0,5,5,0,0,0,0,0
100_1,318_9,100_1-318_9,5,1,0,5,5,0,0,0,0,0
100_1,319_1,100_1-319_1,5,2,0,10,10,0,0,0,0,0
100_1,31_1,100_1-31_1,5,1,0,5,5,0,0,0,0,0
100_1,31_2,100_1-31_2,5,5,0,25,25,0,0,0,0,0
100_1,320_1,100_1-320_1,5,2,0,10,10,0,0,0,0,0
100_1,321_1,100_1-321_1,5,17,0,85,85,0,0,0,0,0
100_1,324_1,100_1-324_1,5,2,0,10,10,0,0,0,0,0
100_1,325_1,100_1-325_1,5,9,0,45,45,0,0,0,0,0
100_1,326_1,100_1-326_1,5,260,0,1300,1300,0,0,0,0,0
100_1,327_1,100_1-327_1,5,2,0,10,10,0,0,0,0,0
100_1,32_1,100_1-32_1,5,494,5,2465,2470,1,0,0,0,0
100_1,330_1,100_1-330_1,5,126,0,630,630,0,0,0,0,0
100_1,331_1,100_1-331_1,5,24,0,120,120,0,0,0,0,0
100_1,332_1,100_1-332_1,5,63,0,315,315,0,0,0,0,0
100_1,333_1,100_1-333_1,5,50,0,250,250,0,0,0,0,0
100_1,334_1,100_1-334_1,5,410,6,2044,2050,1,0,0,0,0
100_1,334_2,100_1-334_2,5,2,0,10,10,0,0,0,0,0
100_1,334_3,100_1-334_3,5,224,0,1120,1120,0,0,0,0,0
100_1,335_1,100_1-335_1,5,5835,26,29149,29175,3,0,0,0,0
100_1,336_1,100_1-336_1,5,132,13,647,660,1,0,0,0,0
100_1,337_1,100_1-337_1,5,38,0,190,190,0,0,0,0,0
100_1,338_1,100_1-338_1,5,3834,37,19133,19170,3,0,0,0,0
100_1,33_1,100_1-33_1,5,37,0,185,185,0,0,0,0,0
100_1,34_1,100_1-34_1,5,17,0,85,85,0,0,0,0,0
100_1,36_1,100_1-36_1,5,42,0,210,210,0,0,0,0,0
100_1,37_1,100_1-37_1,5,45,1,224,225,1,0,0,0,0
100_1,37_2,100_1-37_2,5,1,0,5,5,0,0,0,0,0
100_1,38_1,100_1-38_1,5,4,0,20,20,0,0,0,0,0
100_1,39_1,100_1-39_1,5,8,0,40,40,0,0,0,0,0
100_1,39_2,100_1-39_2,5,54,0,270,270,0,0,0,0,0
100_1,39_3,100_1-39_3,5,5,0,25,25,0,0,0,0,0
100_1,39_4,100_1-39_4,5,15,0,75,75,0,0,0,0,0
100_1,39_5,100_1-39_5,5,199,0,995,995,0,0,0,0,0
100_1,40_1,100_1-40_1,5,30,1,149,150,1,0,0,0,0
100_1,41_1,100_1-41_1,5,8,0,40,40,0,0,0,0,0
100_1,42_1,100_1-42_1,5,29,4,141,145,2,0,0,0,0
100_1,42_2,100_1-42_2,5,293,0,1465,1465,0,0,0,0,0
100_1,43_1,100_1-43_1,5,222,0,1110,1110,0,0,0,0,0
100_1,44_1,100_1-44_1,5,252,12,1248,1260,1,0,0,0,0
100_1,44_3,100_1-44_3,5,514,3,2567,2570,2,0,0,0,0
100_1,44_4,100_1-44_4,5,30,0,150,150,0,0,0,0,0
100_1,44_5,100_1-44_5,5,13,0,65,65,0,0,0,0,0
100_1,45_1,100_1-45_1,5,1976,12,9868,9880,2,0,0,0,0
100_1,46_1,100_1-46_1,5,662,11,3299,3310,2,0,0,0,0
100_1,47_1,100_1-47_1,5,2,0,10,10,0,0,0,0,0
100_1,47_2,100_1-47_2,5,18,1,89,90,1,0,0,0,0
100_1,48_1,100_1-48_1,5,3,0,15,15,0,0,0,0,0
100_1,48_2,100_1-48_2,5,1128,5,5635,5640,3,0,0,0,0
100_1,4_1,100_1-4_1,5,5,0,25,25,0,0,0,0,0
100_1,4_2,100_1-4_2,5,5,0,25,25,0,0,0,0,0
100_1,4_3,100_1-4_3,5,16,0,80,80,0,0,0,0,0
100_1,50_1,100_1-50_1,5,56,1,279,280,1,0,0,0,0
100_1,51_1,100_1-51_1,5,29,1,144,145,1,0,0,0,0
100_1,52_1,100_1-52_1,5,68,2,338,340,1,0,0,0,0
100_1,54_1,100_1-54_1,5,3,0,15,15,0,0,0,0,0
100_1,55_1,100_1-55_1,5,5,0,25,25,0,0,0,0,0
100_1,57_1,100_1-57_1,5,2,0,10,10,0,0,0,0,0
100_1,62_1,100_1-62_1,5,8,0,40,40,0,0,0,0,0
100_1,66_1,100_1-66_1,5,2,0,10,10,0,0,0,0,0
100_1,66_2,100_1-66_2,5,4,0,20,20,0,0,0,0,0
100_1,66_3,100_1-66_3,5,44,0,220,220,0,0,0,0,0
100_1,66_4,100_1-66_4,5,20,0,100,100,0,0,0,0,0
100_1,66_5,100_1-66_5,5,2547,12,12723,12735,3,0,0,0,0
100_1,67_1,100_1-67_1,5,2,0,10,10,0,0,0,0,0
100_1,67_2,100_1-67_2,5,15,0,75,75,0,0,0,0,0
100_1,68_1,100_1-68_1,5,3,0,15,15,0,0,0,0,0
100_1,69_1,100_1-69_1,5,20,0,100,100,0,0,0,0,0
100_1,69_2,100_1-69_2,5,2,0,10,10,0,0,0,0,0
100_1,69_3,100_1-69_3,5,6,0,30,30,0,0,0,0,0
100_1,70_1,100_1-70_1,5,6,0,30,30,0,0,0,0,0
100_1,71_1,100_1-71_1,5,2,0,10,10,0,0,0,0,0
100_1,72_1,100_1-72_1,5,13,0,65,65,0,0,0,0,0
100_1,74_1,100_1-74_1,5,4,0,20,20,0,0,0,0,0
100_1,75_1,100_1-75_1,5,13,0,65,65,0,0,0,0,0
100_1,76_1,100_1-76_1,5,3,0,15,15,0,0,0,0,0
100_1,76_2,100_1-76_2,5,59,0,295,295,0,0,0,0,0
100_1,76_3,100_1-76_3,5,8,0,40,40,0,0,0,0,0
100_1,77_1,100_1-77_1,5,2,0,10,10,0,0,0,0,0
100_1,77_2,100_1-77_2,5,15,0,75,75,0,0,0,0,0
100_1,78_1,100_1-78_1,5,6,0,30,30,0,0,0,0,0
100_1,78_2,100_1-78_2,5,4,0,20,20,0,0,0,0,0
100_1,78_3,100_1-78_3,5,11,0,55,55,0,0,0,0,0
100_1,80_1,100_1-80_1,5,9,0,45,45,0,0,0,0,0
100_1,84_1,100_1-84_1,5,4,0,20,20,0,0,0,0,0
100_1,86_1,100_1-86_1,5,3,0,15,15,0,0,0,0,0
100_1,87_1,100_1-87_1,5,10,0,50,50,0,0,0,0,0
100_1,8_1,100_1-8_1,5,4,0,20,20,0,0,0,0,0
100_1,90_1,100_1-90_1,5,118,0,590,590,0,0,0,0,0
100_1,91_1,100_1-91_1,5,7,0,35,35,0,0,0,0,0
100_1,92_1,100_1-92_1,5,38,1,189,190,1,0,0,0,0
100_1,93_1,100_1-93_1,5,2,0,10,10,0,0,0,0,0
100_1,94_1,100_1-94_1,5,3,0,15,15,0,0,0,0,0
100_1,96_1,100_1-96_1,5,265,5,1320,1325,1,0,0,0,0
100_1,97_1,100_1-97_1,5,287,9,1426,1435,2,0,0,0,0
100_1,98_1,100_1-98_1,5,3,0,15,15,0,0,0,0,0
100_1,99_1,100_1-99_1,5,2,0,10,10,0,0,0,0,0
100_1,99_2,100_1-99_2,5,21,0,105,105,0,0,0,0,0
100_1,9_1,100_1-9_1,5,2,0,10,10,0,0,0,0,0
100_1,9_2,100_1-9_2,5,22,0,110,110,0,0,0,0,0
101_1,102_1,101_1-102_1,75,128,34,9566,9600,6,0,0,0,0
101_1,102_2,101_1-102_2,75,58,3,4347,4350,1,0,0,0,0
101_1,103_1,101_1-103_1,75,2,0,150,150,0,0,0,0,0
101_1,103_2,101_1-103_2,75,5,0,375,375,0,0,0,0,0
101_1,104_1,101_1-104_1,75,24,10,1790,1800,2,0,0,0,0
101_1,105_1,101_1-105_1,75,2,0,150,150,0,0,0,0,0
101_1,106_1,101_1-106_1,75,3,10,215,225,2,0,0,0,0
101_1,107_1,101_1-107_1,75,7,2,523,525,1,0,0,0,0
101_1,109_1,101_1-109_1,75,6,0,450,450,0,0,0,0,0
101_1,109_2,101_1-109_2,75,5,0,375,375,0,0,0,0,0
101_1,10_1,101_1-10_1,75,5,0,375,375,0,0,0,0,0
101_1,10_2,101_1-10_2,75,120,3,8997,9000,2,0,0,0,0
101_1,111_1,101_1-111_1,75,5,0,375,375,0,0,0,0,0
101_1,112_1,101_1-112_1,75,224,22,16778,16800,5,0,0,0,0
101_1,113_1,101_1-113_1,75,16,20,1180,1200,1,0,0,0,0
101_1,114_1,101_1-114_1,75,23,1,1724,1725,1,0,0,0,0
101_1,114_2,101_1-114_2,75,26,0,1950,1950,0,0,0,0,0
101_1,116_1,101_1-116_1,75,36,0,2700,2700,0,0,0,0,0
101_1,118_1,101_1-118_1,75,2,0,150,150,0,0,0,0,0
101_1,119_1,101_1-119_1,75,122,33,9117,9150,3,0,0,0,0
101_1,11_1,101_1-11_1,75,45,10,3365,3375,1,0,0,0,0
101_1,120_1,101_1-120_1,75,129,80,9595,9675,1,0,0,0,0
101_1,121_1,101_1-121_1,75,15,0,1125,1125,0,0,0,0,0
101_1,122_1,101_1-122_1,75,18,0,1350,1350,0,0,0,0,0
101_1,123_0,101_1-123_0,75,1,0,75,75,0,0,0,0,0
101_1,124_1,101_1-124_1,75,40,0,3000,3000,0,0,0,0,0
101_1,125_1,101_1-125_1,75,138,55,10295,10350,3,0,0,0,0
101_1,128_2,101_1-128_2,75,4,0,300,300,0,0,0,0,0
101_1,12_1,101_1-12_1,75,20,0,1500,1500,0,0,0,0,0
101_1,134_1,101_1-134_1,75,2,3,147,150,1,0,0,0,0
101_1,138_1,101_1-138_1,75,11,0,825,825,0,0,0,0,0
101_1,13_1,101_1-13_1,75,32,0,2400,2400,0,0,0,0,0
101_1,140_1,101_1-140_1,75,5,0,375,375,0,0,0,0,0
101_1,142_1,101_1-142_1,75,8,0,600,600,0,0,0,0,0
101_1,142_2,101_1-142_2,75,1,0,75,75,0,0,0,0,0
101_1,144_1,101_1-144_1,75,9,1,674,675,1,0,0,0,0
101_1,144_2,101_1-144_2,75,2,0,150,150,0,0,0,0,0
101_1,144_3,101_1-144_3,75,3,0,225,225,0,0,0,0,0
101_1,145_1,101_1-145_1,75,2,0,150,150,0,0,0,0,0
